plate,row,col,dose,sample_code
1,A,1,50,1-1
1,A,2,50,1-1
1,A,3,50,1-1
1,A,4,5,1-1
1,A,5,5,1-1
1,A,6,5,1-1
1,B,1,50,1-2
1,B,2,50,1-2
1,B,3,50,1-2
1,B,4,5,1-2
1,B,5,5,1-2
1,B,6,5,1-2
1,C,1,50,1-3
1,C,2,50,1-3
1,C,3,50,1-3
1,C,4,5,1-3
1,C,5,5,1-3
1,C,6,5,1-3
1,D,1,50,1-4
1,D,2,50,1-4
1,D,3,50,1-4
1,D,4,5,1-4
1,D,5,5,1-4
1,D,6,5,1-4
1,E,1,50,1-5
1,E,2,50,1-5
1,E,3,50,1-5
1,E,4,5,1-5
1,E,5,5,1-5
1,E,6,5,1-5
1,F,1,50,1-6
1,F,2,50,1-6
1,F,3,50,1-6
1,F,4,5,1-6
1,F,5,5,1-6
1,F,6,5,1-6
1,G,1,50,1-7
1,G,2,50,1-7
1,G,3,50,1-7
1,G,4,5,1-7
1,G,5,5,1-7
1,G,6,5,1-7
1,H,1,50,1-8
1,H,2,50,1-8
1,H,3,50,1-8
1,H,4,5,1-8
1,H,5,5,1-8
1,H,6,5,1-8
1,A,7,50,1-9
1,A,8,50,1-9
1,A,9,50,1-9
1,A,10,5,1-9
1,A,11,5,1-9
1,A,12,5,1-9
1,B,7,50,1-10
1,B,8,50,1-10
1,B,9,50,1-10
1,B,10,5,1-10
1,B,11,5,1-10
1,B,12,5,1-10
1,C,7,50,1-11
1,C,8,50,1-11
1,C,9,50,1-11
1,C,10,5,1-11
1,C,11,5,1-11
1,C,12,5,1-11
1,D,7,50,1-12
1,D,8,50,1-12
1,D,9,50,1-12
1,D,10,5,1-12
1,D,11,5,1-12
1,D,12,5,1-12
1,E,7,50,1-13
1,E,8,50,1-13
1,E,9,50,1-13
1,E,10,5,1-13
1,E,11,5,1-13
1,E,12,5,1-13
1,F,7,50,1-14
1,F,8,50,1-14
1,F,9,50,1-14
1,F,10,5,1-14
1,F,11,5,1-14
1,F,12,5,1-14
1,G,7,50,positive_control
1,G,8,50,positive_control
1,G,9,50,positive_control
1,G,10,5,positive_control
1,G,11,5,positive_control
1,G,12,5,positive_control
1,H,7,50,growth
1,H,8,50,growth
1,H,9,50,growth
1,H,10,5,media
1,H,11,5,media
1,H,12,5,media
2,A,1,50,1-1
2,A,2,50,1-1
2,A,3,50,1-1
2,A,4,5,1-1
2,A,5,5,1-1
2,A,6,5,1-1
2,B,1,50,1-2
2,B,2,50,1-2
2,B,3,50,1-2
2,B,4,5,1-2
2,B,5,5,1-2
2,B,6,5,1-2
2,C,1,50,1-3
2,C,2,50,1-3
2,C,3,50,1-3
2,C,4,5,1-3
2,C,5,5,1-3
2,C,6,5,1-3
2,D,1,50,1-4
2,D,2,50,1-4
2,D,3,50,1-4
2,D,4,5,1-4
2,D,5,5,1-4
2,D,6,5,1-4
2,E,1,50,1-5
2,E,2,50,1-5
2,E,3,50,1-5
2,E,4,5,1-5
2,E,5,5,1-5
2,E,6,5,1-5
2,F,1,50,1-6
2,F,2,50,1-6
2,F,3,50,1-6
2,F,4,5,1-6
2,F,5,5,1-6
2,F,6,5,1-6
2,G,1,50,1-7
2,G,2,50,1-7
2,G,3,50,1-7
2,G,4,5,1-7
2,G,5,5,1-7
2,G,6,5,1-7
2,H,1,50,1-8
2,H,2,50,1-8
2,H,3,50,1-8
2,H,4,5,1-8
2,H,5,5,1-8
2,H,6,5,1-8
2,A,7,50,1-9
2,A,8,50,1-9
2,A,9,50,1-9
2,A,10,5,1-9
2,A,11,5,1-9
2,A,12,5,1-9
2,B,7,50,1-10
2,B,8,50,1-10
2,B,9,50,1-10
2,B,10,5,1-10
2,B,11,5,1-10
2,B,12,5,1-10
2,C,7,50,1-11
2,C,8,50,1-11
2,C,9,50,1-11
2,C,10,5,1-11
2,C,11,5,1-11
2,C,12,5,1-11
2,D,7,50,1-12
2,D,8,50,1-12
2,D,9,50,1-12
2,D,10,5,1-12
2,D,11,5,1-12
2,D,12,5,1-12
2,E,7,50,1-13
2,E,8,50,1-13
2,E,9,50,1-13
2,E,10,5,1-13
2,E,11,5,1-13
2,E,12,5,1-13
2,F,7,50,1-14
2,F,8,50,1-14
2,F,9,50,1-14
2,F,10,5,1-14
2,F,11,5,1-14
2,F,12,5,1-14
2,G,7,50,positive_control
2,G,8,50,positive_control
2,G,9,50,positive_control
2,G,10,5,positive_control
2,G,11,5,positive_control
2,G,12,5,positive_control
2,H,7,50,growth
2,H,8,50,growth
2,H,9,50,growth
2,H,10,5,media
2,H,11,5,media
2,H,12,5,media
3,A,1,50,1-1
3,A,2,50,1-1
3,A,3,50,1-1
3,A,4,5,1-1
3,A,5,5,1-1
3,A,6,5,1-1
3,B,1,50,1-2
3,B,2,50,1-2
3,B,3,50,1-2
3,B,4,5,1-2
3,B,5,5,1-2
3,B,6,5,1-2
3,C,1,50,1-3
3,C,2,50,1-3
3,C,3,50,1-3
3,C,4,5,1-3
3,C,5,5,1-3
3,C,6,5,1-3
3,D,1,50,1-4
3,D,2,50,1-4
3,D,3,50,1-4
3,D,4,5,1-4
3,D,5,5,1-4
3,D,6,5,1-4
3,E,1,50,1-5
3,E,2,50,1-5
3,E,3,50,1-5
3,E,4,5,1-5
3,E,5,5,1-5
3,E,6,5,1-5
3,F,1,50,1-6
3,F,2,50,1-6
3,F,3,50,1-6
3,F,4,5,1-6
3,F,5,5,1-6
3,F,6,5,1-6
3,G,1,50,1-7
3,G,2,50,1-7
3,G,3,50,1-7
3,G,4,5,1-7
3,G,5,5,1-7
3,G,6,5,1-7
3,H,1,50,1-8
3,H,2,50,1-8
3,H,3,50,1-8
3,H,4,5,1-8
3,H,5,5,1-8
3,H,6,5,1-8
3,A,7,50,1-9
3,A,8,50,1-9
3,A,9,50,1-9
3,A,10,5,1-9
3,A,11,5,1-9
3,A,12,5,1-9
3,B,7,50,1-10
3,B,8,50,1-10
3,B,9,50,1-10
3,B,10,5,1-10
3,B,11,5,1-10
3,B,12,5,1-10
3,C,7,50,1-11
3,C,8,50,1-11
3,C,9,50,1-11
3,C,10,5,1-11
3,C,11,5,1-11
3,C,12,5,1-11
3,D,7,50,1-12
3,D,8,50,1-12
3,D,9,50,1-12
3,D,10,5,1-12
3,D,11,5,1-12
3,D,12,5,1-12
3,E,7,50,1-13
3,E,8,50,1-13
3,E,9,50,1-13
3,E,10,5,1-13
3,E,11,5,1-13
3,E,12,5,1-13
3,F,7,50,1-14
3,F,8,50,1-14
3,F,9,50,1-14
3,F,10,5,1-14
3,F,11,5,1-14
3,F,12,5,1-14
3,G,7,50,positive_control
3,G,8,50,positive_control
3,G,9,50,positive_control
3,G,10,5,positive_control
3,G,11,5,positive_control
3,G,12,5,positive_control
3,H,7,50,growth
3,H,8,50,growth
3,H,9,50,growth
3,H,10,5,media
3,H,11,5,media
3,H,12,5,media
